sim,Rate,Rate_1,Rate_2,density,recip,sameXTransTrip,se_density,se_recip,se_sameXTransTrip,maxConv
75,2.43867679831702,2.45408530370394,2.20444714983081,-4.90676040563375,4.87185520298162,1.31480192118354,0.177633632663286,0.244052578481958,0.684441860952003,0.0384592618104375
76,2.435810618267,2.46674836449465,2.20905907434146,-4.90296499103714,4.87281152613837,1.31145069791438,0.193654572974938,0.260870275372748,0.668345122149926,0.0657112860600587
77,2.43662095157686,2.43952338103992,2.18834873086132,-4.89966597487927,4.86216339132176,1.30962722847671,0.178540142582453,0.250029070134655,0.767534070964229,0.141681639829384
78,2.44495597066199,2.47085005668775,2.20970163709311,-4.90847378503022,4.87944058079152,1.34320041215916,0.182686176084926,0.243619855712233,0.710476118860499,0.0568355339448331
79,2.43637123355984,2.44835504044013,2.19601610820165,-4.90895245018711,4.87713285430075,1.29227786261382,0.196941992222603,0.266964349821943,0.639002156844425,0.07719165887949
80,2.44203504168098,2.45877275923636,2.18562856835737,-4.90939394093314,4.87926064038769,1.34816961030977,0.172767037537576,0.234934253981052,0.633700579900817,0.0772533085148039
81,2.47362974251787,2.45345491237115,2.2058812774861,-4.9097354202954,4.8766273147854,1.33623416703702,0.17676194426979,0.243543358284226,0.672293552634104,0.0256025084030811
82,2.44770766356548,2.45308255303401,2.20721838278326,-4.91702592698025,4.88829788970826,1.32743416990448,0.177872788323788,0.239653395002109,0.663526489094622,0.0384782330398433
83,2.44392233189708,2.44527770543692,2.21554656932873,-4.90498955367605,4.86979578879764,1.36586507453287,0.17922477371631,0.251060573940284,0.685786518403326,0.0615766325386755
84,2.43200453417924,2.44806175761768,2.19536939319039,-4.910606089188,4.88386658977284,1.31542196400587,0.164489463213828,0.222400618125359,0.741910562090489,0.095934837390511
85,2.43031894490308,2.48188013826561,2.20865502431282,-4.91030036612612,4.87816464232723,1.35487212789763,0.177988309748246,0.234072084195974,0.725571798761327,0.0491236272767758
86,2.43951808839644,2.45289473909858,2.19312905078427,-4.90113228352659,4.8663177557735,1.35035513507556,0.178011065152797,0.234778970439005,0.713009505689385,0.0973354433743275
87,2.42948225963334,2.48204041653582,2.21778530554675,-4.91651840038221,4.88828466748482,1.32437353898948,0.178302057125954,0.241342654347646,0.665674755302143,0.0469347689633924
88,2.43895795225299,2.45476614268977,2.19170964885056,-4.9154992953008,4.88828826170685,1.32210482872878,0.172290094934672,0.229154706071754,0.659273365110486,0.033671382968902
89,2.42919334246148,2.47759051832886,2.22757443002478,-4.91919201728736,4.88956713869191,1.31572841035007,0.187522370284007,0.248339620074277,0.676659390427017,0.106588518327031
90,2.44304528546652,2.47297989483669,2.19559513854388,-4.91199753063751,4.88962599593035,1.36662999663779,0.170349749218579,0.224849835479253,0.658635741262191,0.0672747378635242
91,2.43996715254206,2.45220285355019,2.21385347831179,-4.92145110319312,4.89552372249917,1.28679238157144,0.174999201233446,0.231274886666973,0.698825077892351,0.0886036294711212
92,2.45209116044648,2.45248644858018,2.20720801579383,-4.91267950060317,4.88278887938985,1.33651995153054,0.172471265745864,0.225158775973915,0.73657767244405,0.0909081693592553
93,2.43579466547792,2.44892821307148,2.22218590865027,-4.90307392920896,4.86974200824693,1.33526652128269,0.168153192058419,0.230539288648882,0.658066899762715,0.0894314199308558
94,2.4238125591282,2.46373280852295,2.22356369166444,-4.90347470558253,4.87409466806013,1.28072014531816,0.182231776525656,0.240849193390073,0.698101754579233,0.0935928754578483
