sim,Rate,Rate_1,Rate_2,density,recip,jumpXTransTrip,se_density,se_recip,se_jumpXTransTrip,maxConv
34,2.40336645735859,2.44783214551032,2.1850521019102,-4.88518149703201,4.85611423238875,3.30136287567872,0.170794070852525,0.212048657982107,0.916824646893315,0.194633501329915
35,2.43504872762684,2.45116002916176,2.20902163230271,-4.91343004621433,4.88496043171373,3.39827437460857,0.17958412535009,0.241309957715702,0.84072604706942,0.051134325446342
36,2.44112164330365,2.46116674907068,2.20855208763592,-4.91479707239879,4.89372127304645,3.36466452999173,0.193344521037215,0.250892391212811,0.908821464417252,0.0441928770542964
37,2.42055066483711,2.47271964123283,2.20848128093312,-4.93544099372826,4.92278275935542,3.36116524687356,0.183160061458505,0.250081502068855,0.93936926881821,0.0930170608703627
38,2.42152414624639,2.46282631320428,2.2147159275594,-4.91323309159416,4.88804394821558,3.36625870409771,0.189520500245003,0.250689098287997,0.914691279307232,0.0571083643240647
39,2.44370757797939,2.47112074209424,2.22783410349431,-4.9168389955875,4.89868027474387,3.28663198196346,0.188602196047655,0.252146938900583,0.970712060343595,0.0772412638207612
40,2.42493136810819,2.4638585032172,2.18798362788058,-4.91376353710333,4.8926080784192,3.36377454540563,0.178742270051244,0.239094755413071,0.985174851687041,0.0721640563232521
41,2.43900180483428,2.46328848215002,2.21035581368467,-4.92439993516534,4.90191870472247,3.33891716020937,0.176255916103968,0.236310760041902,0.905026534341918,0.046952493048645
42,2.44077095717629,2.47586490316952,2.23235575556678,-4.92786355850219,4.91797830633501,3.34195145603996,0.166145573757577,0.217892725459564,0.840141122039718,0.0655706584443225
43,2.45502122082592,2.45680039964647,2.18363211956913,-4.90916078256738,4.88151877995329,3.37899448244618,0.175498972078526,0.234414400150912,0.904850516299274,0.0967669056940605
44,2.43381039155649,2.43494511775705,2.21107156969291,-4.91885399723483,4.89813941745617,3.37703649841564,0.174244786111063,0.236934833514413,0.943527720715971,0.0680209652766381
45,2.44817706585496,2.44517897844554,2.20227893635696,-4.9130608679504,4.88243862055127,3.40481360042531,0.18936654910882,0.247834345682396,0.875405414499825,0.118429007544882
46,2.45789955222923,2.47846575493956,2.20140090425249,-4.92713527203797,4.91271662864738,3.35749437192669,0.166482686689551,0.224862360860373,0.962410019991331,0.112129411226916
47,2.45289135578833,2.47147526655479,2.2197315344221,-4.92776356983364,4.90852233685755,3.27475376270199,0.176252458582101,0.226928605474586,0.966019553070607,0.0966878781295887
48,2.44670829978957,2.46718420971519,2.23560462281017,-4.92873251382978,4.91355939345704,3.36931698463527,0.178947795163776,0.231624032798511,0.957182351252762,0.0404111245909733
49,2.4355080844755,2.4723381493087,2.2075960243488,-4.91520732000719,4.898704144838,3.29153928626431,0.192542632531346,0.243918048288837,0.898559251309538,0.131272648708663
50,2.43960731177014,2.46042165979436,2.21411657817828,-4.9153623346649,4.89605287010498,3.40302835607935,0.160807393567885,0.230663090162241,0.895320109816436,0.0580759254108696
51,2.43631663576259,2.45766300054969,2.19507878535576,-4.90673686906445,4.89717563096723,3.33033310357991,0.173463768456059,0.234412839569137,0.907285505340085,0.151816773926836
52,2.43149300189369,2.47261821488578,2.21345340396917,-4.92307332341229,4.90628778662054,3.32006158613683,0.194021158387876,0.265404532949014,0.938413454596771,0.0834699881136928
53,2.45139435756767,2.47098532550641,2.21019802649012,-4.91176372987494,4.88309774802281,3.31508746477135,0.181834320120429,0.244847335924953,0.862085328784723,0.0748046643982504
54,2.42416674736709,2.46891529234235,2.2127050602551,-4.91217140921624,4.89495983501085,3.36431089970367,0.190625050283888,0.253192520472716,0.871008032408386,0.0889085155507831
55,2.43810005851082,2.50302638566271,2.21246887115642,-4.93274501865414,4.90944718435164,3.32056501284559,0.189650210234603,0.252768125708955,0.930318056075633,0.143670919042877
56,2.42759986346432,2.45724307272947,2.21140382303643,-4.91414404545393,4.89226521500264,3.3293094607083,0.183010456278891,0.244179060527713,0.94818457893538,0.070985801612859
57,2.43338120009548,2.44852693874586,2.19847995289353,-4.89794675247151,4.86942448187098,3.29219484948913,0.162281022342777,0.219815558078426,0.922792525351731,0.131034912157517
58,2.44346556999976,2.46440952897428,2.23386084855342,-4.92056369001441,4.90379694278016,3.30449339902512,0.17532959901346,0.241609299770693,0.976894630022009,0.0909063781628991
59,2.43437426428678,2.46471150274575,2.2280912796991,-4.90491591033499,4.87364015677985,3.40363609982096,0.185185697189498,0.24204278912753,0.964477543799599,0.111289556328449
60,2.43507951835957,2.45938014884063,2.20641765155633,-4.91741312718128,4.90566117894173,3.33692047890772,0.187877947493381,0.260183018619433,0.841761027022214,0.0636689215798638
61,2.42726826002922,2.46928618283647,2.19909290571607,-4.92315768815887,4.90824030145246,3.35123450663342,0.176826613545379,0.237674677562825,0.932113199034083,0.0551002638606937
62,2.45124944099719,2.46056656803886,2.22695525882138,-4.93534632550782,4.92510068661957,3.39090109840947,0.172030754370118,0.229259661215515,0.876597671070391,0.167486281167341
63,2.43903145759357,2.48728123130616,2.20324882590868,-4.91515947577846,4.89052608301244,3.33211391034586,0.188446889342038,0.248233566224836,0.884213709563105,0.104447722291071
64,2.42025949226189,2.46415633810207,2.1798229014933,-4.91061237510404,4.88339426807932,3.386514929665,0.180969680492269,0.237236018180165,0.876143060455865,0.11866268669499801
65,2.42277916954718,2.45631490286535,2.20290937177103,-4.90801979551951,4.88299832081354,3.36219510649473,0.17502188220877,0.251501891428447,0.889383626650326,0.096138297086531
66,2.44699094869626,2.44623389855202,2.23005251840736,-4.93082471648173,4.91585903943783,3.37754967550246,0.172376326613454,0.227880634524124,0.907722274362905,0.0915559034186923
67,2.43610362002974,2.44411129530154,2.19756277219035,-4.91999558120192,4.90364997204436,3.37329429648887,0.172258317267419,0.238821661041195,0.917808347754343,0.0340485614247917
68,2.43955739136629,2.47100493853565,2.20409636067368,-4.93053761207928,4.91965598163175,3.37527187804391,0.175914854711966,0.241954779055083,0.895049716446779,0.0979422286224602
69,2.44632494903257,2.47023272843626,2.22018612295716,-4.925599562642,4.91035464800626,3.34504279384744,0.171925660291671,0.234935495662842,0.884162580598,0.106141460042784
70,2.43934026635885,2.45791627087014,2.22874381655455,-4.91972999281626,4.89833385696213,3.34483441735022,0.171712592439357,0.236226552637721,0.92799974281216,0.105386954545095
71,2.43567164634586,2.44651948438016,2.20293680289936,-4.91161151373135,4.89241107215518,3.32783815497044,0.184928666669823,0.244489583105419,0.971363948658175,0.0954090364601776
72,2.44842954052859,2.47533216120639,2.20942990819855,-4.92843832456502,4.91722310073268,3.27366007584531,0.194506629578534,0.266903163675537,0.931273486560639,0.142347911109215
