born,district,icpsr,n_au,n_bills,n_co,na,nyears,party,sex,state,thomas,vertex.names
1953,NA,49309,65,332,267,FALSE,12,DEM,M,WI,01331,Russell D. Feingold
1956,NA,29523,29,253,224,FALSE,9,REP,M,KS,00137,Samuel D. Brownback
1943,NA,29512,11,234,223,FALSE,6,REP,M,GA,00188,Saxby Chambliss
1959,NA,40913,4,55,51,FALSE,0,REP,M,MA,01975,Scott Brown
1955,NA,40704,41,420,379,FALSE,0,DEM,M,RI,01823,Sheldon Whitehouse
1952,NA,29389,88,548,460,FALSE,0,DEM,M,OH,00136,Sherrod Brown
1952,NA,49703,41,393,352,FALSE,12,REP,F,ME,01541,Susan M. Collins
1937,NA,14009,7,243,236,FALSE,30,REP,M,MS,00213,Thad Cochran
1948,NA,29555,9,171,162,FALSE,0,REP,M,OK,00212,Thomas A. Coburn
1939,NA,14230,42,253,211,FALSE,24,DEM,M,IA,00501,Thomas Harkin
1947,NA,15015,27,166,139,FALSE,6,DEM,M,DE,00179,Thomas Richard Carper
1946,NA,15425,17,277,260,FALSE,12,DEM,M,SD,00604,Tim P. Johnson
1948,NA,29924,15,215,200,FALSE,0,DEM,M,NM,01567,Tom S. Udall
