sim,Rate,Rate_1,Rate_2,density,recip,simXTransTrip,se_density,se_recip,se_simXTransTrip,maxConv
42,2.435119875586,2.4754133357169,2.20629108304154,-4.92430013628515,4.89627611643095,10.093123491962,0.167598453893756,0.226339241419421,4.14674300678931,0.103940555834248
43,2.43690670082754,2.46747712838441,2.19717420020009,-4.90771299074292,4.88172016338124,10.046628512848,0.179858733980985,0.239457072100634,3.74760720461202,0.0731269033886157
44,2.44019497547676,2.46035041024292,2.21278190246952,-4.91936886267861,4.8982383247894,10.0997326940902,0.177181518689614,0.235901641891257,3.61375976184102,0.0815416873799242
45,2.41580608339068,2.45304754584591,2.21088256508897,-4.91158111093018,4.8853596797331,9.8321056281601,0.179669745171137,0.242098946852507,3.82015362434056,0.0604753547986937
46,2.43455775893064,2.4574666199877,2.20362184593554,-4.91771995364112,4.88915874519802,10.093449989398,0.178452660998677,0.237874639218932,3.85438533933853,0.0384748164745564
47,2.43984730514564,2.44222592475304,2.2042993170424,-4.91295841187574,4.88721249731145,10.2914786062598,0.184353840923185,0.254567975615703,3.77089391433118,0.0902720390190449
48,2.45911283942859,2.45219466244375,2.20688143402944,-4.92271707709705,4.90186306614696,10.052883188394,0.173983083453589,0.229560603345907,3.61964244226221,0.0534612448996258
49,2.45836499229227,2.4709573760935,2.2179050594084,-4.91420601356131,4.88664318920667,10.2880075745622,0.178238810460323,0.240885535073418,3.54021205894885,0.0976589713135156
50,2.4410976414982,2.44314377928204,2.22888338508634,-4.92174218198621,4.89283234114993,10.0097735000905,0.187229505633067,0.254116157843069,3.866165342853,0.0785503363932911
51,2.42580591020983,2.4600328798247,2.21799451525252,-4.90602208078367,4.87639269306535,10.1974320272558,0.180795407349074,0.249320965147313,3.79535155968155,0.0455036446206036
52,2.45604132982501,2.44061611367027,2.21676276939712,-4.9175277561176,4.88981129124938,10.1425796388034,0.183703164853846,0.253104004924185,3.92292669830321,0.0405557921262988
53,2.45076047472219,2.45237302776579,2.20497933880325,-4.92048736298129,4.89606972680586,10.0976093529799,0.196049295618114,0.255784367181534,4.03249780715307,0.0547605305213547
54,2.4280595874581,2.46156038198932,2.217181435945,-4.91229864318878,4.87966288469091,9.93152636221862,0.180183705643669,0.242233876341129,3.78110266716051,0.0424347790066591
55,2.45209532093768,2.47251029439904,2.20177937770849,-4.93077096325724,4.91141489613043,9.8780276928438,0.16905849112988,0.226911217236338,3.63493534702461,0.0768693233079943
56,2.45430377294247,2.45113899571747,2.19428218664798,-4.91470668709399,4.88555351184516,10.0089572171168,0.191457841423955,0.254367113771781,3.8953783749504,0.080935845607475
57,2.44695867836571,2.4612352222769,2.19584455532572,-4.90915004637705,4.88139836115062,10.098713737717,0.161445729902651,0.229636546319905,3.7188844940377,0.0814677210940317
