shortName,type,inter1,estimate,se,Waldpval,refits,overallConverge
simX,eval,bills,-0.00160506044312522,0.409320244570537,0.996871276997082,5,0.198971139745931
simRecipX,eval,bills,-0.824979459200109,0.789316894549516,0.295939066663727,4,0.152788180180337
simXTransTrip,eval,bills,9.82097559869318,3.94424058939269,0.0127759815043887,3,0.205677407783851
sameX,eval,bills,-0.453435717143114,0.251604091588588,0.0715171807041338,4,0.238326828206056
sameXRecip,eval,bills,-0.305748029574188,0.494206101486372,0.536137055963758,4,0.211012831465608
sameXTransTrip,eval,bills,4.40147327681782,1.72087496485626,0.0105368466202295,5,0.196300935950357
jumpXTransTrip,eval,bills,0.556449596491832,10.3278368102136,0.957031870566239,5,0.177296883913902
egoXaltX,eval,bills,-9.93603447939985e-05,0.000133878935684448,0.457986989186657,3,0.230946641511855
egoXaltXRecip,eval,bills,-0.000163869095410993,0.00021908082600681,0.454469415139131,5,0.119924831011921
higher,eval,bills,0.843529358567036,0.248722570918894,0.000695246679330075,5,0.555112043416536
IndTies,eval,bills,-0.0335851241240773,0.0123769466211082,0.00665720312021234,4,0.172438414264319
altDist2,eval,bills,-0.0161972757993255,0.00890094027441527,0.0688006843384016,4,0.235939761955703
simDist2,eval,bills,1.84479789430375,2.69553026390106,0.493728006877373,4,0.202594958674221
NA,NA,NA,0,0,0,0,0
NA,NA,NA,0,0,0,0,0
NA,NA,NA,0,0,0,0,0
NA,NA,NA,0,0,0,0,0
NA,NA,NA,0,0,0,0,0
NA,NA,NA,0,0,0,0,0
NA,NA,NA,0,0,0,0,0
NA,NA,NA,0,0,0,0,0
NA,NA,NA,0,0,0,0,0
NA,NA,NA,0,0,0,0,0
