ip_address,nick_name,start_time,end_time,pic_id,response_no,conf_level,choice_reason,description,weight,response,sample_size,test_param,param_value,p_value,obs_plot_location,pic_name,experiment,difficulty,data_name,trial,type,alt_model,datapick,size,sign,initialEst
,A18LFH7XW61JO9,1508520449.217065,1508520476.6074002,9931,2,Very Certain,"Other, Different from other plots",turk22,1,2,NA,jttp,1,NA,2,file23c3125e678.svg,turk22,9,jttp_gof_9_1.csv,0,M-1,data,TRUE,-3.4498956944706896,0,-3.4498956944706896
,A3V5IIPZ95YVKH,1508520470.6864297,1508520508.5015984,9971,2,Very Certain,Most simple overall structure,turk22,1,2,NA,bigmod,1,NA,2,file23c5ffb4a66.svg,turk22,9,bigmod_gof_9_1.csv,0,M-1,data,TRUE,1,0,1
,A18LFH7XW61JO9,1508520754.0754797,1508520762.8260972,9931,2,Certain,Most simple overall structure,turk22,1,2,NA,jttp,1,NA,2,file23c3125e678.svg,turk22,9,jttp_gof_9_1.csv,0,M-1,data,TRUE,-3.4498956944706896,0,-3.4498956944706896
,A2ZFTBJPSQX1GB,1508520812.470606,1508520834.6780148,9931,"2,3",Certain,Most complicated overall structure,turk22,0.5,2,NA,jttp,1,NA,2,file23c3125e678.svg,turk22,9,jttp_gof_9_1.csv,0,M-1,data,TRUE,-3.4498956944706896,0,-3.4498956944706896
,A2ZFTBJPSQX1GB,1508520812.470606,1508520834.6780148,9931,"2,3",Certain,Most complicated overall structure,turk22,0.5,3,NA,jttp,1,NA,2,file23c3125e678.svg,turk22,9,jttp_gof_9_1.csv,0,M-1,data,FALSE,-3.4498956944706896,0,-3.4498956944706896
,A2TT6FAIWFD25N,1508520839.8857195,1508520850.1043208,9933,1,Certain,Most simple overall structure,turk22,1,1,NA,jttp,1,NA,1,file23c336a4b8d.svg,turk22,9,jttp_gof_9_3.csv,0,M-1,data,TRUE,-3.4498956944706896,0,-3.4498956944706896
,A3EZ0H07TSDAPW,1508520912.4340286,1508520922.0402822,9933,2,Certain,Most complicated overall structure,turk22,1,2,NA,jttp,1,NA,1,file23c336a4b8d.svg,turk22,9,jttp_gof_9_3.csv,0,M-1,data,FALSE,-3.4498956944706896,0,-3.4498956944706896
,AL6TUFYAMT6U4,1508520925.629702,1508520934.9458911,9933,1,Very Certain,Most complicated overall structure,turk22,1,1,NA,jttp,1,NA,1,file23c336a4b8d.svg,turk22,9,jttp_gof_9_3.csv,0,M-1,data,TRUE,-3.4498956944706896,0,-3.4498956944706896
,A3A8P4UR9A0DWQ,1508521244.2359004,1508521252.3787472,9973,6,Certain,Most simple overall structure,turk22,1,6,NA,bigmod,1,NA,6,file23c2357fc42.svg,turk22,9,bigmod_gof_9_3.csv,0,M-1,data,TRUE,1,0,1
,A5OJ7FHDAEHR9,1508521259.8497214,1508521266.304385,9943,6,Very Uncertain,Most simple overall structure,turk22,1,6,NA,jtts,1,NA,6,file23c900d7fb.svg,turk22,9,jtts_gof_9_3.csv,0,M-1,data,TRUE,3.340301961018899,0,3.340301961018899
