pic_id,sample_size,test_param,param_value,p_value,obs_plot_location,pic_name,experiment,difficulty,data_name,trial,type,alt_model
3263,NA,samettp,2.5,NA,4,file23c6171c53f.svg,turk22,NA,samettp_neg_hard_3.csv,0,M-1,basic
1251,NA,simttb,-3,NA,6,file23c20df77cf.svg,turk22,NA,simttb_neg_easy_1.csv,0,one,simttb
1252,NA,simttb,-3,NA,4,file23c8b61d5f.svg,turk22,NA,simttb_neg_easy_2.csv,0,one,simttb
1253,NA,simttb,-3,NA,5,file23c456b1d3e.svg,turk22,NA,simttb_neg_easy_3.csv,0,one,simttb
2251,NA,simttb,-2,NA,6,file23cd68cb08.svg,turk22,NA,simttb_neg_med_1.csv,0,one,simttb
2252,NA,simttb,-2,NA,6,file8c20606ea39a.svg,turk22,NA,simttb_neg_med_2.csv,0,one,simttb
2253,NA,simttb,-2,NA,2,file23c545f20e0.svg,turk22,NA,simttb_neg_med_3.csv,0,one,simttb
3251,NA,simttb,-1,NA,5,file23c419e6d7c.svg,turk22,NA,simttb_neg_hard_1.csv,0,one,simttb
3252,NA,simttb,-1,NA,6,file23c4fe46037.svg,turk22,NA,simttb_neg_hard_2.csv,0,one,simttb
3253,NA,simttb,-1,NA,6,file23c7181d926.svg,turk22,NA,simttb_neg_hard_3.csv,0,one,simttb
3151,NA,simttb,1.6,NA,3,file8c203dee9703.svg,turk22,NA,simttb_pos_hard_1.csv,0,one,simttb
3152,NA,simttb,1.6,NA,3,file8c2067bfa02f.svg,turk22,NA,simttb_pos_hard_2.csv,0,one,simttb
3153,NA,simttb,1.6,NA,1,file8c2017c30f20.svg,turk22,NA,simttb_pos_hard_3.csv,0,one,simttb
2151,NA,simttb,1.75,NA,6,file23c327aefa3.svg,turk22,NA,simttb_pos_med_1.csv,0,one,simttb
2152,NA,simttb,1.75,NA,5,file23c7ecd0ff6.svg,turk22,NA,simttb_pos_med_2.csv,0,one,simttb
2153,NA,simttb,1.75,NA,2,file23c297a6b9d.svg,turk22,NA,simttb_pos_med_3.csv,0,one,simttb
1151,NA,simttb,2,NA,2,file23c7238562e.svg,turk22,NA,simttb_pos_easy_1.csv,0,one,simttb
1152,NA,simttb,2,NA,3,file23c7031611d.svg,turk22,NA,simttb_pos_easy_2.csv,0,one,simttb
1153,NA,simttb,2,NA,6,file23c279d5b40.svg,turk22,NA,simttb_pos_easy_3.csv,0,one,simttb
9951,NA,simttb,1,NA,2,file23c5766b3e7.svg,turk22,NA,simttb_gof_9_1.csv,0,M-1,data
9952,NA,simttb,1,NA,3,file23c57b180f3.svg,turk22,NA,simttb_gof_9_2.csv,0,M-1,data
9953,NA,simttb,1,NA,3,file23c173203a2.svg,turk22,NA,simttb_gof_9_3.csv,0,M-1,data
