ip_address,nick_name,start_time,end_time,pic_id,response_no,conf_level,choice_reason,description,weight,response,sample_size,test_param,param_value,p_value,obs_plot_location,pic_name,experiment,difficulty,data_name,trial,type,alt_model,datapick,size,sign,initialEst
,AQNIO8YEHWUBR,1508518660.201171,1508518669.8568516,2112,1,Certain,Most complicated overall structure,turk22,1,1,NA,dens,1.35,NA,1,file23c15883e72.svg,turk22,2,dens_pos_med_2.csv,0,one,dens,TRUE,-6.618749365913125,-1,-4.902777308083796
,A154X03NKVZZL1,1508518663.2353685,1508518670.715355,1252,4,Very Certain,Most complicated overall structure,turk22,1,4,NA,simttb,-3,NA,4,file23c8b61d5f.svg,turk22,1,simttb_neg_easy_2.csv,0,one,simttb,TRUE,-30.272488107008705,-1,10.090829369002902
,A1EQ2HDHF2WWSY,1508518662.6031654,1508518673.2936046,2121,5,Very Certain,"Other, unusual cluster",turk22,1,5,NA,recip,1.4,NA,5,file23c30c104ca.svg,turk22,2,recip_pos_med_1.csv,0,one,recip,TRUE,6.850352851800547,1,4.893109179857534
,A1UTBDKOQ2MKUD,1508518667.3232741,1508518673.7295415,1131,5,Certain,Most simple overall structure,turk22,1,5,NA,jttp,5,NA,4,file8c2013559f05.svg,turk22,1,jttp_pos_easy_1.csv,0,one,jttp,FALSE,-17.24947847235345,-1,-3.4498956944706896
,A256FHXGSY0E5D,1508518664.41501,1508518675.2302914,2133,2,Uncertain,Most simple overall structure,turk22,1,2,NA,jttp,3,NA,2,file8c2046d2b4bd.svg,turk22,2,jttp_pos_med_3.csv,0,one,jttp,TRUE,-10.349687083412068,-1,-3.4498956944706896
,A1UTBDKOQ2MKUD,1508518673.8086183,1508518678.1438398,3241,6,Very Certain,Most complicated overall structure,turk22,1,6,NA,jtts,1.5,NA,3,file8c201e13e6d9.svg,turk22,3,jtts_neg_hard_1.csv,0,M-1,basic,FALSE,5.0104529415283485,1,3.340301961018899
,AQNIO8YEHWUBR,1508518669.9381516,1508518678.3669224,2211,3,Certain,Most simple overall structure,turk22,1,3,NA,dens,0.85,NA,3,file23c57602d7f.svg,turk22,2,dens_neg_med_1.csv,0,one,dens,TRUE,-4.167360711871226,1,-4.902777308083796
,A2LT6KC1X51FVW,1508518660.0282009,1508518679.6803176,1252,4,Neutral,Most complicated overall structure,turk22,1,4,NA,simttb,-3,NA,4,file23c8b61d5f.svg,turk22,1,simttb_neg_easy_2.csv,0,one,simttb,TRUE,-30.272488107008705,-1,10.090829369002902
,A37S96RT1P1IT2,1508518669.7253807,1508518681.7780647,2131,4,Certain,Most complicated overall structure,turk22,1,4,NA,jttp,3,NA,2,file8c207227fe19.svg,turk22,2,jttp_pos_med_1.csv,0,one,jttp,FALSE,-10.349687083412068,-1,-3.4498956944706896
,A256FHXGSY0E5D,1508518675.3280663,1508518683.3369,1213,5,Very Certain,Most complicated overall structure,turk22,1,5,NA,dens,0.8,NA,5,file23c91e3212.svg,turk22,1,dens_neg_easy_3.csv,0,one,dens,TRUE,-3.9222218464670373,1,-4.902777308083796
